gpt-4o_baseline,87/150,58.00,69.57,56.52,61.76,56.76,48.48
gpt-41_baseline,107/150,71.33,95.65,69.57,79.41,75.68,42.42
gpt-4o_avic_r,64/101,63.37,50.00,70.59,66.67,69.57,56.25
InternVL3-14B_baseline,88/150,58.67,60.87,65.22,70.59,59.46,39.39
gpt-4o_avic_r,99/150,66.00,56.52,73.91,70.59,67.57,60.61
gpt-4o_avic,87/150,58.00,56.52,52.17,64.71,56.76,57.58
gpt-4o_avic,87/150,58.00,56.52,52.17,64.71,56.76,57.58
gpt-4o_avic_qwen,77/113,68.14,73.68,64.71,83.33,55.17,66.67
gpt-4o_avic_qwen,99/150,66.00,73.91,60.87,82.35,56.76,57.58
gpt-41_avic_r,115/150,76.67,95.65,86.96,82.35,75.68,51.52
gpt-41_avic_r,115/150,76.67,95.65,86.96,82.35,75.68,51.52
gpt-41_avic,110/150,73.33,95.65,78.26,82.35,75.68,42.42
gpt-41_avic,110/150,73.33,95.65,78.26,82.35,75.68,42.42
gpt-41_avic_qwen,115/150,76.67,95.65,86.96,85.29,75.68,48.48
gpt-41_avic_qwen,115/150,76.67,95.65,86.96,85.29,75.68,48.48
gpt-41_mindjourney,17/21,80.95,100.00,100.00,60.00,80.00,66.67
InternVL3-14B_avic_r,96/150,64.00,52.17,60.87,79.41,72.97,48.48
InternVL3-14B_avic_r,96/150,64.00,52.17,60.87,79.41,72.97,48.48
InternVL3-14B_avic,100/150,66.67,56.52,60.87,85.29,70.27,54.55
InternVL3-14B_avic,100/150,66.67,56.52,60.87,85.29,70.27,54.55
InternVL3-14B_avic_qwen,108/150,72.00,65.22,65.22,82.35,86.49,54.55
InternVL3-14B_avic_qwen,108/150,72.00,65.22,65.22,82.35,86.49,54.55
